"order_date","revenue"
"2024-06-01","263.10"
"2024-06-02","314.40"
"2024-06-03","297.90"
"2024-06-04","224.10"
"2024-06-05","192.90"
"2024-06-06","269.40"
"2024-06-07","258.60"
"2024-06-08","222.60"
"2024-06-09","307.20"
"2024-06-10","148.30"
"2024-06-11","327.60"
"2024-06-12","488.20"
"2024-06-13","465.60"
"2024-06-14","152.10"
"2024-06-15","178.60"
"2024-06-16","195.90"
"2024-06-17","419.10"
"2024-06-18","196.50"
"2024-06-19","319.50"
"2024-06-20","310.50"
"2024-06-21","276.30"
"2024-06-22","326.70"
"2024-06-23","255.90"
"2024-06-24","143.40"
"2024-06-25","289.20"
"2024-06-26","305.40"
"2024-06-27","243.90"
"2024-06-28","208.80"
"2024-06-29","175.20"
"2024-06-30","464.40"
"2024-07-01","228.90"
"2024-07-02","270.00"
"2024-07-03","312.90"
"2024-07-04","247.50"
"2024-07-05","114.00"
"2024-07-06","278.40"
"2024-07-07","104.70"
"2024-07-08","274.50"
"2024-07-09","336.90"
"2024-07-10","363.60"
"2024-07-11","304.80"
"2024-07-12","284.10"
"2024-07-13","303.90"
"2024-07-14","206.10"
"2024-07-15","290.10"
"2024-07-16","443.10"
"2024-07-17","245.40"
"2024-07-18","152.70"
"2024-07-19","105.60"
"2024-07-20","227.40"
"2024-07-21","193.80"
"2024-07-22","391.20"
"2024-07-23","321.60"
"2024-07-24","164.40"
"2024-07-25","339.00"
"2024-07-26","369.00"
"2024-07-27","367.50"
"2024-07-28","654.60"
"2024-07-29","217.80"
"2024-07-30","103.20"
"2024-07-31","260.70"
"2024-08-01","315.60"
"2024-08-02","289.50"
"2024-08-03","126.90"
"2024-08-04","238.80"
"2024-08-05","222.30"
"2024-08-06","179.40"
"2024-08-07","140.70"
"2024-08-08","244.20"
"2024-08-09","114.90"
"2024-08-10","259.20"
"2024-08-11","272.70"
"2024-08-12","189.30"
"2024-08-13","405.00"
"2024-08-14","279.00"
"2024-08-15","264.00"
"2024-08-16","330.00"
"2024-08-17","217.80"
"2024-08-18","457.50"
"2024-08-19","215.40"
"2024-08-20","560.40"
"2024-08-21","310.50"
"2024-08-22","162.90"
"2024-08-23","371.10"
"2024-08-24","273.90"
"2024-08-25","398.40"
"2024-08-26","410.40"
"2024-08-27","367.50"
"2024-08-28","333.60"
"2024-08-29","111.90"
"2024-08-30","159.00"
